pattern	file	line	text
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/d3/e.java	319	Intent intent2 = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/d3/e.java	356	Intent intent3 = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/f3/a.java	47	return new Intent().setAction("android.intent.action.MAIN").addCategory("android.intent.category.LAUNCHER").setComponent(this.e);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/m4/f1.java	441	Intent intent = new Intent("android.intent.action.MAIN");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/n2/k0/b.java	72	Intent intent = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/p1/e.java	176	Intent flags = new Intent("android.intent.action.MAIN").setComponent(listB.get(0).c()).setFlags(270532608);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/t2/q.java	652	Intent intent = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/t4/u/n.java	43	intent.setAction("android.intent.action.MAIN");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/w2/a.java	51	Intent intentA = z2 ? aVar.a(view.getContext()) : new Intent("android.intent.action.MAIN").addCategory("android.intent.category.LAUNCHER").setComponent(aVar.e).setFlags(270532608);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/x3/d0/y.java	45	iVar.c = new Intent("android.intent.action.MAIN").addCategory("android.intent.category.LAUNCHER").setComponent(eVarP.c()).setFlags(270532608);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/ArrowDefaultLayout.java	176	return addShortcut(activityInfoB.loadLabel(this.mPackageManager).toString(), new Intent("android.intent.action.MAIN", (Uri) null).addCategory("android.intent.category.LAUNCHER").setComponent(componentName).setFlags(270532608), 0);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/ArrowDefaultLayout.java	474	intent4.setAction("android.intent.action.MAIN");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/AutoInstallsLayout.java	88	Intent flags = new Intent("android.intent.action.MAIN", (Uri) null).addCategory("android.intent.category.LAUNCHER").setComponent(componentName).setFlags(270532608);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/AutoInstallsLayout.java	110	Intent flags = new Intent("android.intent.action.MAIN", (Uri) null).addCategory("android.intent.category.LAUNCHER").setComponent(new ComponentName(attributeValue, attributeValue2)).setFlags(270532608);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/InstallShortcutReceiver.java	321	} else if (pendingInstallShortcutInfo2.launchIntent.getAction().equals("android.intent.action.MAIN") && pendingInstallShortcutInfo2.launchIntent.getCategories() != null && pendingInstallShortcutInfo2.launchIntent.getCategories().contains("android.intent.category.LAUNCHER")) {
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/Launcher.java	3337	boolean zEquals = "android.intent.action.MAIN".equals(intent.getAction());
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/dragndrop/AddItemActivity.java	140	Intent flags = new Intent("android.intent.action.MAIN").addCategory("android.intent.category.HOME").setPackage(getPackageName()).setFlags(CrashUtils.ErrorDialogData.BINDER_CRASH);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/icons/IconCache.java	239	appInfo.intent = new Intent("android.intent.action.MAIN").addCategory("android.intent.category.LAUNCHER").setComponent(activity);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/icons/LauncherIcons.java	117	appInfo.intent = new Intent("android.intent.action.MAIN").addCategory("android.intent.category.LAUNCHER").setComponent(activity);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/model/LoaderCursor.java	511	Intent intent2 = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/model/LoaderTask.java	2388	if (appLaunchIntent.getAction() != null && appLaunchIntent.getCategories() != null && appLaunchIntent.getAction().equals("android.intent.action.MAIN") && appLaunchIntent.getCategories().contains("android.intent.category.LAUNCHER")) {
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/model/data/AppInfo.java	55	return new Intent("android.intent.action.MAIN").addCategory("android.intent.category.LAUNCHER").setComponent(launcherActivityInfo.getComponentName()).setFlags(270532608);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/model/data/PromiseAppInfo.java	15	this.intent = new Intent("android.intent.action.MAIN").addCategory("android.intent.category.LAUNCHER").setComponent(this.componentName).setFlags(270532608);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/model/data/WorkspaceItemInfo.java	220	this.intent = new Intent("android.intent.action.MAIN").addCategory("android.intent.category.LAUNCHER").setComponent(componentName).setFlags(i2);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/secondarydisplay/SecondaryDisplayLauncher.java	230	if ("android.intent.action.MAIN".equals(intent.getAction()) && (viewPeekDecorView = getWindow().peekDecorView()) != null && viewPeekDecorView.getWindowToken() != null) {
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/shortcuts/AppSetUtils.java	163	Intent intent = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/shortcuts/ShortcutKey.java	50	return new Intent("android.intent.action.MAIN").addCategory("com.android.launcher3.DEEP_SHORTCUT").setComponent(shortcutInfoCompat.getActivity()).setPackage(shortcutInfoCompat.getPackage()).setFlags(270532608).putExtra("shortcut_id", shortcutInfoCompat.getId());
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/util/PackageManagerHelper.java	69	if (intent == null || !"android.intent.action.MAIN".equals(intent.getAction()) || intent.getComponent() == null || intent.getCategories() == null || intent.getCategories().size() != 1 || !intent.hasCategory("android.intent.category.LAUNCHER") || !TextUtils.isEmpty(intent.getDataString())) {
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/microsoft/bing/usbsdk/api/helpers/app/AppBriefInfo.java	61	this.intent = new Intent("android.intent.action.MAIN").addCategory("android.intent.category.LAUNCHER").setComponent(aVar.c()).setFlags(270532608);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/LauncherActivity.java	699	Intent intent = new Intent("android.intent.action.MAIN");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/LauncherActivity.java	3556	if ("android.intent.action.MAIN".equals(intent.getAction())) {
