pattern	file	line	text
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/todo/views/FloatWindowBigView.java	145	public boolean dispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/todo/views/FloatWindowBigView.java	147	return super.dispatchKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/view/DialogBaseView.java	181	public boolean dispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/view/DialogBaseView.java	192	return z2 || super.dispatchKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/microsoft/notes/richtext/editor/NotesEditText.java	98	@Metadata(bv = {1, 0, 3}, d1 = {"\u0000È\u0002\n\u0002\u0018\u0002\n\u0002\u0018\u0002\n\u0002\u0018\u0002\n\u0002\u0018\u0002\n\u0002\b\u0002\n\u0002\u0018\u0002\n\u0000\n\u0002\u0018\u0002\n\u0002\b\u0002\n\u0002\u0018\u0002\n\u0000\n\u0002\u0018\u0002\n\u0002\b\u0003\n\u0002\u0018\u0002\n\u0002\b\u0003\n\u0002\u0018\u0002\n\u0002\b\b\n\u0002\u0018\u0002\n\u0000\n\u0002\u0010\u000b\n\u0002\b\u0003\n\u0002\u0018\u0002\n\u0002\b\u0005\n\u0002\u0010\r\n\u0000\n\u0002\u0018\u0002\n\u0002\b\u0006\n\u0002\u0010\b\n\u0002\b\b\n\u0002\u0018\u0002\n\u0000\n\u0002\u0018\u0002\n\u0002\b\u0004\n\u0002\u0018\u0002\n\u0002\b\u0003\n\u0002\u0018\u0002\n\u0002\b\u0006\n\u0002\u0018\u0002\n\u0002\b\u0005\n\u0002\u0010\u000e\n\u0002\b\u0011\n\u0002\u0018\u0002\n\u0002\b\u0002\n\u0002\u0018\u0002\n\u0002\b\u0005\n\u0002\u0018\u0002\n\u0002\b\u0003\n\u0002\u0018\u0002\n\u0002\b\u0006\n\u0002\u0010 \n\u0002\u0018\u0002\n\u0002\b\u0003\n\u0002\u0018\u0002\n\u0002\b\u0003\n\u0002\u0018\u0002\n\u0002\b\u0002\n\u0002\u0010\t\n\u0002\b\t\n\u0002\u0018\u0002\n\u0002\b\b\n\u0002\u0018\u0002\n\u0002\b\u0002\n\u0002\u0018\u0002\n\u0002\b\u0002\n\u0002\u0018\u0002\n\u0002\b\u0004\n\u0002\u0018\u0002\n\u0002\u0018\u0002\n\u0002\u0018\u0002\n\u0002\b\u0002\n\u0002\u0018\u0002\n\u0002\b\u0006\n\u0002\u0018\u0002\n\u0002\b\t\n\u0002\b\u0006\n\u0002\u0018\u0002\n\u0000\n\u0002\u0018\u0002\n\u0002\b\u0002\n\u0002\u0010%\n\u0002\u0018\u0002\n\u0002\b\u0002\n\u0002\u0018\u0002\n\u0002\b\u0005*\u0002º\u0001\u0018\u00002\u00020\u00012\u00020\u0002:\u0002yxB\u001d\u0012\u0006\u0010\u0016\u001a\u00020\u0015\u0012\n\u0010Ê\u0001\u001a\u0005\u0018\u00010É\u0001¢\u0006\u0006\bË\u0001\u0010Ì\u0001B\u0013\b\u0016\u0012\u0006\u0010\u0016\u001a\u00020\u0015¢\u0006\u0006\bË\u0001\u0010Í\u0001J\u000f\u0010\u0004\u001a\u00020\u0003H\u0002¢\u0006\u0004\b\u0004\u0010\u0005J\u0017\u0010\t\u001a\u00020\b2\u0006\u0010\u0007\u001a\u00020\u0006H\u0002¢\u0006\u0004\b\t\u0010\nJ\u001b\u0010\u000e\u001a\u0004\u0018\u00010\r2\b\u0010\f\u001a\u0004\u0018\u00010\u000bH\u0002¢\u0006\u0004\b\u000e\u0010\u000fJ#\u0010\u0013\u001a\u00020\b\"\u0004\b\u0000\u0010\u00102\f\u0010\u0012\u001a\b\u0012\u0004\u0012\u00028\u00000\u0011H\u0002¢\u0006\u0004\b\u0013\u0010\u0014J\u0017\u0010\u0017\u001a\u00020\u00032\u0006\u0010\u0016\u001a\u00020\u0015H\u0002¢\u0006\u0004\b\u0017\u0010\u0018J\u001b\u0010\u001a\u001a\u00020\b2\n\b\u0002\u0010\u0019\u001a\u0004\u0018\u00010\u0003H\u0002¢\u0006\u0004\b\u001a\u0010\u001bJ\u001b\u0010\u001d\u001a\u00020\b2\n\b\u0002\u0010\u001c\u001a\u0004\u0018\u00010\u0003H\u0002¢\u0006\u0004\b\u001d\u0010\u001bJ\u001f\u0010\"\u001a\u00020\b2\u0006\u0010\u001f\u001a\u00020\u001e2\u0006\u0010!\u001a\u00020 H\u0002¢\u0006\u0004\b\"\u0010#J\u001f\u0010&\u001a\u00020\b2\u0006\u0010%\u001a\u00020$2\u0006\u0010!\u001a\u00020 H\u0002¢\u0006\u0004\b&\u0010'J\u000f\u0010(\u001a\u00020\bH\u0002¢\u0006\u0004\b(\u0010)J/\u0010/\u001a\u00020\b2\u0006\u0010+\u001a\u00020*2\u0006\u0010\u0012\u001a\u00020,2\u0006\u0010-\u001a\u00020 2\u0006\u0010.\u001a\u00020 H\u0002¢\u0006\u0004\b/\u00100J\u000f\u00101\u001a\u00020 H\u0002¢\u0006\u0004\b1\u00102J\u0017\u00105\u001a\u00020 2\u0006\u00104\u001a\u000203H\u0002¢\u0006\u0004\b5\u00106J\u000f\u00107\u001a\u00020 H\u0002¢\u0006\u0004\b7\u00102J\u0019\u00109\u001a\u00020\b2\b\b\u0002\u00108\u001a\u00020 H\u0002¢\u0006\u0004\b9\u0010:J\u000f\u0010;\u001a\u00020\bH\u0002¢\u0006\u0004\b;\u0010)J\u001f\u0010@\u001a\u00020\b2\u0006\u0010=\u001a\u00020<2\u0006\u0010?\u001a\u00020>H\u0002¢\u0006\u0004\b@\u0010AJ7\u0010E\u001a\u00020\b\"\u0004\b\u0000\u0010\u00102\f\u0010B\u001a\b\u0012\u0004\u0012\u00028\u00000\u00112\u0012\u0010D\u001a\u000e\u0012\u0004\u0012\u00028\u0000\u0012\u0004\u0012\u00020\b0CH\u0002¢\u0006\u0004\bE\u0010FJ\u0015\u0010I\u001a\u00020\b2\u0006\u0010H\u001a\u00020G¢\u0006\u0004\bI\u0010JJ7\u0010L\u001a\u00020\b2\n\b\u0002\u0010\u0007\u001a\u0004\u0018\u00010\u00062\b\b\u0002\u0010K\u001a\u00020 2\b\b\u0002\u0010-\u001a\u00020 2\b\b\u0002\u0010.\u001a\u00020 ¢\u0006\u0004\bL\u0010MJ!\u0010P\u001a\u00020 2\u0006\u00104\u001a\u0002032\b\u0010O\u001a\u0004\u0018\u00010NH\u0016¢\u0006\u0004\bP\u0010QJ\u0017\u0010R\u001a\u00020 2\u0006\u0010O\u001a\u00020\u000bH\u0014¢\u0006\u0004\bR\u0010SJ\u001d\u0010W\u001a\u00020\b2\u0006\u0010U\u001a\u00020T2\u0006\u0010V\u001a\u00020T¢\u0006\u0004\bW\u0010XJ\u001f\u0010[\u001a\u00020\b2\u0006\u0010Y\u001a\u0002032\u0006\u0010Z\u001a\u000203H\u0014¢\u0006\u0004\b[\u0010\\J\r\u0010]\u001a\u00020\b¢\u0006\u0004\b]\u0010)J#\u0010^\u001a\u00020\b2\b\u0010+\u001a\u0004\u0018\u00010*2\b\u0010\u0012\u001a\u0004\u0018\u00010,H\u0016¢\u0006\u0004\b^\u0010_J\u0019\u0010`\u001a\u00020 2\b\u0010O\u001a\u0004\u0018\u00010\u000bH\u0016¢\u0006\u0004\b`\u0010SJ\u0019\u0010a\u001a\u00020 2\b\u0010O\u001a\u0004\u0018\u00010NH\u0016¢\u0006\u0004\ba\u0010bJ!\u0010c\u001a\u00020 2\u0006\u00104\u001a\u0002032\b\u0010O\u001a\u0004\u0018\u00010NH\u0016¢\u0006\u0004\bc\u0010QJ!\u0010d\u001a\u00020 2\u0006\u00104\u001a\u0002032\b\u0010O\u001a\u0004\u0018\u00010NH\u0016¢\u0006\u0004\bd\u0010QJ\u0015\u0010g\u001a\u00020f2\u0006\u0010e\u001a\u000203¢\u0006\u0004\bg\u0010hJ\u000f\u0010j\u001a\u0004\u0018\u00010i¢\u0006\u0004\bj\u0010kJ\u0015\u0010m\u001a\u00020\b2\u0006\u0010l\u001a\u00020i¢\u0006\u0004\bm\u0010nJ\u0015\u0010q\u001a\u00020\b2\u0006\u0010p\u001a\u00020o¢\u0006\u0004\bq\u0010rJ\u000f\u0010t\u001a\u00020sH\u0014¢\u0006\u0004\bt\u0010uJ\u001f\u0010x\u001a\u00020\b2\u0006\u0010v\u001a\u00020T2\u0006\u0010w\u001a\u00020TH\u0016¢\u0006\u0004\bx\u0010XJ\u000f\u0010y\u001a\u00020 H\u0016¢\u0006\u0004\by\u00102J\u0017\u0010|\u001a\n\u0012\u0004\u0012\u00020{\u0018\u00010zH\u0016¢\u0006\u0004\b|\u0010}J%\u0010\u0081\u0001\u001a\u00020 2\u0006\u0010~\u001a\u0002032\t\u0010\u0080\u0001\u001a\u0004\u0018\u00010\u007fH\u0016¢\u0006\u0006\b\u0081\u0001\u0010\u0082\u0001R\u0019\u0010\u0085\u0001\u001a\u00030\u0083\u00018\u0002@\u0002X\u0082\u0004¢\u0006\u0007\n\u0005\b\"\u0010\u0084\u0001R\u0019\u0010\u0088\u0001\u001a\u00030\u0086\u00018\u0002@\u0002X\u0082\u000e¢\u0006\u0007\n\u0005\b/\u0010\u0087\u0001R5\u0010\u008f\u0001\u001a\u0004\u0018\u0001032\b\u0010!\u001a\u0004\u0018\u0001038\u0006@FX\u0086\u000e¢\u0006\u0018\n\u0006\b\u0089\u0001\u0010\u008a\u0001\u001a\u0006\b\u008b\u0001\u0010\u008c\u0001\"\u0006\b\u008d\u0001\u0010\u008e\u0001R\u001a\u0010\u0093\u0001\u001a\u00030\u0090\u00018\u0002@\u0002X\u0082\u0004¢\u0006\b\n\u0006\b\u0091\u0001\u0010\u0092\u0001R'\u0010\u0098\u0001\u001a\u00020 8\u0006@\u0006X\u0086\u000e¢\u0006\u0016\n\u0006\b\u0094\u0001\u0010\u0095\u0001\u001a\u0005\b\u0096\u0001\u00102\"\u0005\b\u0097\u0001\u0010:R\u0019\u0010\u009b\u0001\u001a\u00030\u0099\u00018\u0002@\u0002X\u0082\u0004¢\u0006\u0007\n\u0005\b(\u0010\u009a\u0001R\u0019\u0010\u009e\u0001\u001a\u00030\u009c\u00018\u0002@\u0002X\u0082.¢\u0006\u0007\n\u0005\bW\u0010\u009d\u0001R\u001b\u0010¡\u0001\u001a\u0005\u0018\u00010\u009f\u00018\u0002@\u0002X\u0082\u000e¢\u0006\u0007\n\u0005\b]\u0010 \u0001R\u0018\u0010£\u0001\u001a\u0002038\u0002@\u0002X\u0082\u000e¢\u0006\u0007\n\u0005\b7\u0010¢\u0001R8\u0010¨\u0001\u001a\"\u0012\u000b\u0012\t\u0012\u0005\u0012\u00030¥\u00010z0¤\u0001j\u0010\u0012\u000b\u0012\t\u0012\u0005\u0012\u00030¥\u00010z`¦\u00018\u0002@\u0002X\u0082\u000e¢\u0006\u0007\n\u0005\b\u001d\u0010§\u0001R+\u0010¯\u0001\u001a\u0005\u0018\u00010©\u00018\u0006@\u0006X\u0086\u000e¢\u0006\u0017\n\u0005\b9\u0010ª\u0001\u001a\u0006\b«\u0001\u0010¬\u0001\"\u0006\b\u00ad\u0001\u0010®\u0001R,\u0010·\u0001\u001a\u0005\u0018\u00010°\u00018\u0006@\u0006X\u0086\u000e¢\u0006\u0018\n\u0006\b±\u0001\u0010²\u0001\u001a\u0006\b³\u0001\u0010´\u0001\"\u0006\bµ\u0001\u0010¶\u0001R\u001a\u0010¹\u0001\u001a\u0004\u0018\u00010i8\u0002@\u0002X\u0082\u000e¢\u0006\u0007\n\u0005\b&\u0010¸\u0001R\u001a\u0010½\u0001\u001a\u00030º\u00018\u0002@\u0002X\u0082\u0004¢\u0006\b\n\u0006\b»\u0001\u0010¼\u0001R\u001a\u0010¿\u0001\u001a\u0004\u0018\u00010\u00038\u0002@\u0002X\u0082\u000e¢\u0006\u0007\n\u0005\b\u0013\u0010¾\u0001R \u0010H\u001a\u000b\u0012\u0004\u0012\u00020G\u0018\u00010À\u00018\u0002@\u0002X\u0082\u000e¢\u0006\u0007\n\u0005\bx\u0010Á\u0001R\u0019\u0010Ä\u0001\u001a\u00030Â\u00018\u0002@\u0002X\u0082\u000e¢\u0006\u0007\n\u0005\b5\u0010Ã\u0001R&\u0010È\u0001\u001a\u0010\u0012\u0005\u0012\u00030Æ\u0001\u0012\u0004\u0012\u00020>0Å\u00018\u0002@\u0002X\u0082\u000e¢\u0006\u0007\n\u0005\b;\u0010Ç\u0001¨\u0006Î\u0001"}, d2 = {"Lcom/microsoft/notes/richtext/editor/NotesEditText;", "Landroidx/appcompat/widget/AppCompatEditText;", "Lb/a/a/a/a/e;", "Landroid/text/SpannableStringBuilder;", "getSpannableAndTrackSpans", "()Landroid/text/SpannableStringBuilder;", "Lcom/microsoft/notes/richtext/scheme/Document;", Document.RICH_TEXT_DOCUMENT_ID, "Lk0/l;", "setDocumentWithDelayedImages", "(Lcom/microsoft/notes/richtext/scheme/Document;)V", "Landroid/view/MotionEvent;", "motionEvent", "Landroid/text/style/URLSpan;", "f", "(Landroid/view/MotionEvent;)Landroid/text/style/URLSpan;", "T", "Ljava/lang/Class;", "type", "n", "(Ljava/lang/Class;)V", "Landroid/content/Context;", "context", "g", "(Landroid/content/Context;)Landroid/text/SpannableStringBuilder;", "spans", "d", "(Landroid/text/SpannableStringBuilder;)V", "spanBuilder", "l", "Lcom/microsoft/notes/richtext/editor/FormattingProperty;", "formattingProperty", "", "value", "q", "(Lcom/microsoft/notes/richtext/editor/FormattingProperty;Z)V", "Lcom/microsoft/notes/richtext/editor/ParagraphFormattingProperty;", "property", "r", "(Lcom/microsoft/notes/richtext/editor/ParagraphFormattingProperty;Z)V", "p", "()V", "", "text", "Landroid/widget/TextView$BufferType;", "keepSelection", "showSoftInput", "s", "(Ljava/lang/CharSequence;Landroid/widget/TextView$BufferType;ZZ)V", "i", "()Z", "", "keyCode", "j", "(I)Z", "k", "validatorEnabled", "u", "(Z)V", "m", "Lb/a/a/a/b/d;", "placeholderImageSpan", "Landroid/graphics/Bitmap;", "bitmap", "h", "(Lb/a/a/a/b/d;Landroid/graphics/Bitmap;)V", "spanType", "Lkotlin/Function1;", "block", "c", "(Ljava/lang/Class;Lk0/s/a/l;)V", "Lb/a/a/a/a/m;", "notesEditTextCallback", "setNotesEditTextViewCallback", "(Lb/a/a/a/a/m;)V", "loadImagesDelayed", "setDocument", "(Lcom/microsoft/notes/richtext/scheme/Document;ZZZ)V", "Landroid/view/KeyEvent;", DataLayer.EVENT_KEY, "onKeyUp", "(ILandroid/view/KeyEvent;)Z", "dispatchHoverEvent", "(Landroid/view/MotionEvent;)Z", "", "mediaLocalUrl", "mediaMimeType", "t", "(Ljava/lang/String;Ljava/lang/String;)V", "selStart", "selEnd", "onSelectionChanged", "(II)V", "o", "setText", "(Ljava/lang/CharSequence;Landroid/widget/TextView$BufferType;)V", "onTouchEvent", "dispatchKeyEventPreIme", "(Landroid/view/KeyEvent;)Z", "onKeyPreIme", "onKeyDown", "offset", "Landroid/graphics/RectF;", "e", "(I)Landroid/graphics/RectF;", "Landroidx/core/widget/NestedScrollView;", "getScrollView", "()Landroidx/core/widget/NestedScrollView;", "scrollView", "setScrollView", "(Landroidx/core/widget/NestedScrollView;)V", "Lcom/microsoft/notes/models/Note;", "updatedNote", "setNoteContent", "(Lcom/microsoft/notes/models/Note;)V", "Landroid/text/method/MovementMethod;", "getDefaultMovementMethod", "()Landroid/text/method/MovementMethod;", "localId", "altText", "b", "a", "", "Lb/a/a/a/b/b;", "getMediaListInCurrentSelection", "()Ljava/util/List;", InstrumentationConsts.ACTION, "Landroid/os/Bundle;", "arguments", "performAccessibilityAction", "(ILandroid/os/Bundle;)Z", "Lb/a/a/a/a/f;", "Lb/a/a/a/a/f;", "inlineMediaContextMenuManager", "", "J", "revision", "w", "Ljava/lang/Integer;", "getInkColor", "()Ljava/lang/Integer;", "setInkColor", "(Ljava/lang/Integer;)V", "inkColor", "Lm/i/p/d;", "z", "Lm/i/p/d;", "gestureDetector", "x", "Z", "getHasMedia", "setHasMedia", "hasMedia", "Lb/a/a/a/a/l;", "Lb/a/a/a/a/l;", "notesEditTextAccessibilityHelper", "Lcom/microsoft/notes/richtext/editor/NotesEditText$a;", "Lcom/microsoft/notes/richtext/editor/NotesEditText$a;", "movementMethod", "Landroid/view/inputmethod/InputMethodManager;", "Landroid/view/inputmethod/InputMethodManager;", "imm", "I", "ignoreTextChangeCount", "Ljava/util/HashSet;", "Lcom/microsoft/notes/richtext/scheme/Block;", "Lkotlin/collections/HashSet;", "Ljava/util/HashSet;", "previousDocuments", "Lb/a/a/a/a/n;", "Lb/a/a/a/a/n;", "getRibbonCallback", "()Lb/a/a/a/a/n;", "setRibbonCallback", "(Lb/a/a/a/a/n;)V", "ribbonCallback", "Lb/a/a/a/a/b;", "v", "Lb/a/a/a/a/b;", "getFocusCallback", "()Lb/a/a/a/a/b;", "setFocusCallback", "(Lb/a/a/a/a/b;)V", "focusCallback", "Landroidx/core/widget/NestedScrollView;", "scrollingView", "com/microsoft/notes/richtext/editor/NotesEditText$c", "y", "Lcom/microsoft/notes/richtext/editor/NotesEditText$c;", "gestureListener", "Landroid/text/SpannableStringBuilder;", "pendingSpanBuilder", "Ljava/lang/ref/WeakReference;", "Ljava/lang/ref/WeakReference;", "Lb/a/a/a/a/c;", "Lb/a/a/a/a/c;", "editorState", "", "Lcom/microsoft/notes/richtext/scheme/InlineMedia;", "Ljava/util/Map;", "bitmapCache", "Landroid/util/AttributeSet;", "attrs", "<init>", "(Landroid/content/Context;Landroid/util/AttributeSet;)V", "(Landroid/content/Context;)V", "noteslib_release"}, k = 1, mv = {1, 4, 0})
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/microsoft/notes/richtext/editor/NotesEditText.java	514	public boolean dispatchKeyEventPreIme(KeyEvent event) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/microsoft/notes/richtext/editor/NotesEditText.java	529	return super.dispatchKeyEventPreIme(event);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/microsoft/notes/richtext/editor/NotesEditText.java	542	return super.dispatchKeyEventPreIme(event);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/microsoft/notes/richtext/editor/NotesEditText.java	545	return super.dispatchKeyEventPreIme(event);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/m/b/k/p.java	25	public boolean superDispatchKeyEvent(KeyEvent keyEvent) {
