key,ps7330,ps7331,changed,focus
CONFIG_MTK_CONSUMER_PARTIAL_UPDATE_SUPPORT,not set,not set,false,false
CONFIG_MTK_CPU_AFFINITY,y,y,false,false
CONFIG_MTK_CPU_CTRL_CFP,not set,not set,false,false
CONFIG_MTK_CPU_HOTPLUG_DEBUG_0,y,y,false,false
CONFIG_MTK_CPU_HOTPLUG_DEBUG_1,not set,not set,false,false
CONFIG_MTK_CPU_HOTPLUG_DEBUG_2,y,y,false,false
CONFIG_MTK_CPU_HOTPLUG_DEBUG_3,y,y,false,false
CONFIG_MTK_CPU_STRESS,not set,not set,false,false
CONFIG_MTK_CPU_TOPOLOGY,y,y,false,false
CONFIG_MTK_CQDMA,y,y,false,false
CONFIG_MTK_DA228,y,y,false,false
CONFIG_MTK_DEBUG_LATCH,y,y,false,false
CONFIG_MTK_DEBUG_PREEMPT,not set,not set,false,false
CONFIG_MTK_DEBUG_TRACER,not set,not set,false,false
CONFIG_MTK_DEVAPC_DRIVER,y,y,false,false
CONFIG_MTK_DEVICE_ORIENTATION_HUB,not set,not set,false,false
CONFIG_MTK_DFD_INTERNAL_DUMP,not set,not set,false,false
CONFIG_MTK_DHCPV6C_WIFI,y,y,false,false
CONFIG_MTK_DISABLE_GAUGE,not set,not set,false,false
CONFIG_MTK_DISABLE_POWER_ON_OFF_VOLTAGE_LIMITATION,not set,not set,false,false
CONFIG_MTK_DM_VERITY_OFF,not set,not set,false,false
CONFIG_MTK_DO,not set,not set,false,false
CONFIG_MTK_DRAMC,y,y,false,false
CONFIG_MTK_DRAMC_PASR,y,y,false,false
CONFIG_MTK_DRAM_LOG_STORE,y,y,false,false
CONFIG_MTK_DRAM_LOG_STORE_ADDR,0x0011DF00,0x0011DF00,false,false
CONFIG_MTK_DRAM_LOG_STORE_SIZE,0x100,0x100,false,false
CONFIG_MTK_DRE30_SUPPORT,not set,not set,false,false
CONFIG_MTK_DRM_KEY_MNG_SUPPORT,y,y,false,false
CONFIG_MTK_DTBO_FEATURE,not set,not set,false,false
CONFIG_MTK_DUAL_CHARGER_SUPPORT,not set,not set,false,false
CONFIG_MTK_DUAL_DISPLAY_SUPPORT,0,0,false,false
CONFIG_MTK_DUAL_INPUT_CHARGER_SUPPORT,not set,not set,false,false
CONFIG_MTK_DUM_CHAR,not set,not set,false,false
CONFIG_MTK_DYNAMIC_BOOST,y,y,false,false
CONFIG_MTK_DYNAMIC_FPS_FRAMEWORK_SUPPORT,y,y,false,false
CONFIG_MTK_ECCCI_DRIVER,not set,not set,false,false
CONFIG_MTK_EINT_MULTI_TRIGGER_DESIGN,y,y,false,false
CONFIG_MTK_EMI,y,y,false,false
CONFIG_MTK_EMI_BWL,not set,not set,false,false
CONFIG_MTK_EMI_MBW,not set,not set,false,false
CONFIG_MTK_EMI_MPU,not set,not set,false,false
CONFIG_MTK_EMMC_CACHE,y,y,false,false
CONFIG_MTK_EMMC_CQ_SUPPORT,y,y,false,false
CONFIG_MTK_EMMC_SUPPORT,y,y,false,false
CONFIG_MTK_EMMC_SUPPORT_OTP,not set,not set,false,false
CONFIG_MTK_ENABLE_AGO,not set,not set,false,false
CONFIG_MTK_ENABLE_GENIEZONE,not set,not set,false,false
CONFIG_MTK_ENABLE_GMO,not set,not set,false,false
CONFIG_MTK_ENG_BUILD,not set,not set,false,false
CONFIG_MTK_EPL2182,not set,not set,false,false
CONFIG_MTK_ES_REG,y,y,false,false
CONFIG_MTK_EXTBUCK,not set,not set,false,false
CONFIG_MTK_EXTERNAL_CHARGER_TYPE_DETECT,y,y,false,false
CONFIG_MTK_FAN5405_SUPPORT,not set,not set,false,false
CONFIG_MTK_FB,y,y,false,false
CONFIG_MTK_FB_SUPPORT_ASSERTION_LAYER,y,y,false,false
CONFIG_MTK_FINGERPRINT_SUPPORT,not set,not set,false,false
CONFIG_MTK_FIQ_CACHE,not set,not set,false,false
CONFIG_MTK_FLASHLIGHT,not set,not set,false,false
CONFIG_MTK_FLAT_HUB,not set,not set,false,false
CONFIG_MTK_FMRADIO,not set,not set,false,false
CONFIG_MTK_FPSGO,not set,not set,false,false
CONFIG_MTK_FREQ_HOPPING,y,y,false,false
CONFIG_MTK_FTRACE_DEFAULT_ENABLE,not set,not set,false,false
CONFIG_MTK_GAMEROTVECHUB,not set,not set,false,false
CONFIG_MTK_GAUGE_VERSION,30,30,false,false
CONFIG_MTK_GIC_EXT,y,y,false,false
