root,file,line,class,method,kind,description,excerpt
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,57,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""accessibility_alexa_captioning_position"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,58,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""accessibility_alexa_captioning_font_scale"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,59,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""accessibility_alexa_captioning_typeface"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,60,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""accessibility_alexa_captioning_edge_type"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,61,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""accessibility_alexa_captioning_window_color"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,62,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""accessibility_alexa_captioning_foreground_color"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,63,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""accessibility_alexa_captioning_background_color"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,64,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""accessibility_alexa_captioning_edge_dx"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,65,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""accessibility_alexa_captioning_edge_dy"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,66,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""accessibility_alexa_captioning_edge_color"", Settings.Secure.CONTENT_URI);"
