package,code_path,source_class,user_id,shared_user,system_app,privileged,flags,private_flags,granted_permissions,fire_literal_in_dump_block,home_literal_in_dump_block
com.amazon.device.backup.sdk.internal.library,/system/priv-app/com.amazon.device.backup.sdk.internal.library,system-priv-app,10037,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.WRITE_SECURE_SETTINGS,false,false
com.android.contacts,/system/priv-app/TabletContacts,system-priv-app,10122,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.WRITE_SECURE_SETTINGS,false,false
com.android.camera2,/system/priv-app/TabletCamera2,system-priv-app,10021,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP LARGE_HEAP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_UNRESIZEABLE PRIVILEGED,android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.aca,/system/priv-app/com.amazon.aca,system-priv-app,10139,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVILEGED,android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.imp,/system/priv-app/com.amazon.imp,system-priv-app,10043,,true,true,SYSTEM HAS_CODE PERSISTENT ALLOW_CLEAR_USER_DATA,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED,android.permission.MANAGE_USERS,false,false
com.amazon.mp3,/system/priv-app/com.amazon.mp3,system-priv-app,10110,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA LARGE_HEAP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE HAS_DOMAIN_URLS PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED,android.permission.WRITE_SECURE_SETTINGS,true,false
com.amazon.frameworksettings,/system/priv-app/com.amazon.frameworksettings,system-priv-app,10112,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,true,false
com.amazon.csapp,/system/priv-app/com.amazon.csapp,system-priv-app,10077,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP KILL_AFTER_RESTORE,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,true,false
com.amazon.diode,/system/priv-app/com.amazon.diode,system-priv-app,10009,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED,android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.logan,/system/priv-app/Logan,system-priv-app,10066,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION DEFAULT_TO_DEVICE_PROTECTED_STORAGE DIRECT_BOOT_AWARE PRIVILEGED,android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.tahoe,/system/priv-app/com.amazon.tahoe,system-priv-app,10128,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA LARGE_HEAP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_UNRESIZEABLE HAS_DOMAIN_URLS PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED,android.permission.CHANGE_COMPONENT_ENABLED_STATE;android.permission.INSTALL_PACKAGES;android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,false,false
com.android.settings.intelligence,/system/priv-app/TabletSettingsIntelligence,system-priv-app,10019,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.MANAGE_USERS,false,false
com.amazon.alexa.multimodal.gemini,/system/priv-app/com.amazon.alexa.multimodal.gemini,system-priv-app,10044,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA LARGE_HEAP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_UNRESIZEABLE DIRECT_BOOT_AWARE PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED,android.permission.CHANGE_COMPONENT_ENABLED_STATE;android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.sneakpeek,/system/priv-app/com.amazon.sneakpeek,system-priv-app,10173,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.kindle.kso,/system/priv-app/com.amazon.kindle.kso,system-priv-app,10074,,true,true,SYSTEM HAS_CODE ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED,android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,true,false
com.amazon.device.backup,/system/priv-app/com.amazon.device.backup,system-priv-app,10024,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.kindle.starsight,/system/priv-app/com.amazon.kindle.starsight,system-priv-app,10062,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_UNRESIZEABLE PRIVILEGED,android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.securitysyncclient,/system/priv-app/com.amazon.securitysyncclient,system-priv-app,10111,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.device.messaging,/system/priv-app/DeviceMessagingAndroid,system-priv-app,10071,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION DIRECT_BOOT_AWARE PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED,android.permission.MANAGE_USERS,false,false
com.amazon.kindle.otter.oobe,/system/priv-app/com.amazon.kindle.otter.oobe,system-priv-app,10023,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_UNRESIZEABLE DIRECT_BOOT_AWARE PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED,android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,true,false
com.android.musicfx,/system/priv-app/MusicFX,system-priv-app,10088,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.CHANGE_COMPONENT_ENABLED_STATE,false,false
com.amazon.tv.ottssocompanionapp,/system/priv-app/com.amazon.tv.ottssocompanionapp,system-priv-app,10061,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVILEGED,android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.appverification,/system/priv-app/AppVerification,system-priv-app,10070,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.DELETE_PACKAGES;android.permission.WRITE_SECURE_SETTINGS,false,false
com.android.gallery3d,/system/priv-app/com.android.gallery3d,system-priv-app,10186,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP LARGE_HEAP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION HAS_DOMAIN_URLS PRIVILEGED,android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,false,false
com.android.packageinstaller,/system/priv-app/TabletPackageInstaller,system-priv-app,10018,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION DEFAULT_TO_DEVICE_PROTECTED_STORAGE DIRECT_BOOT_AWARE PRIVILEGED,android.permission.DELETE_PACKAGES;android.permission.INSTALL_PACKAGES;android.permission.MANAGE_USERS,false,false
com.amazon.client.metrics,/system/priv-app/MetricsService,system-priv-app,10007,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED,android.permission.MANAGE_USERS,false,false
com.android.managedprovisioning,/system/priv-app/ManagedProvisioning,system-priv-app,10091,,true,true,SYSTEM HAS_CODE ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.CHANGE_COMPONENT_ENABLED_STATE;android.permission.DELETE_PACKAGES;android.permission.INSTALL_PACKAGES;android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.wifilocker,/system/priv-app/CredentialLockerAndroid-tablet-release,system-priv-app,10069,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.kor.demo,/system/priv-app/com.amazon.kor.demo,system-priv-app,10094,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED,android.permission.CHANGE_COMPONENT_ENABLED_STATE;android.permission.DELETE_PACKAGES;android.permission.FORCE_STOP_PACKAGES;android.permission.INSTALL_PACKAGES;android.permission.WRITE_SECURE_SETTINGS,true,false
amazon.speech.davs.davcservice,/system/priv-app/amazon.speech.davs.davcservice,system-priv-app,10133,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.MANAGE_USERS,false,false
com.amazon.afe.app,/system/priv-app/com.amazon.afe.app-stub,system-priv-app,10082,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.comms.kids,/system/priv-app/com.amazon.comms.kids,system-priv-app,10055,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.CHANGE_COMPONENT_ENABLED_STATE,false,false
com.amazon.kindle.unifiedSearch,/system/priv-app/com.amazon.kindle.unifiedSearch,system-priv-app,10026,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION HAS_DOMAIN_URLS PRIVILEGED,android.permission.CHANGE_COMPONENT_ENABLED_STATE;android.permission.WRITE_SECURE_SETTINGS,false,false
com.android.storagemanager,/system/priv-app/StorageManager,system-priv-app,10060,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.DELETE_PACKAGES;android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.providers.contentsupport,/system/priv-app/com.amazon.providers.contentsupport,system-priv-app,10138,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVILEGED,android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.device.crashmanager,/system/priv-app/CrashManager,system-priv-app,10105,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVILEGED,android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.kindle.rdmdeviceadmin,/system/priv-app/com.amazon.kindle.rdmdeviceadmin,system-priv-app,10115,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED,android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.parentalcontrols,/system/priv-app/com.amazon.parentalcontrols,system-priv-app,10058,,true,true,SYSTEM HAS_CODE ALLOW_BACKUP KILL_AFTER_RESTORE RESTORE_ANY_VERSION,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PRIVILEGED,android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,false,false
com.amazon.adep,/system/priv-app/com.amazon.adep,system-priv-app,10132,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED,android.permission.CHANGE_COMPONENT_ENABLED_STATE,false,false
com.amazon.avod,/data/app/com.amazon.avod-llUXUUPczfHcVsyR4FQq7g==,data-app,10106,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA UPDATED_SYSTEM_APP LARGE_HEAP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION HAS_DOMAIN_URLS PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED,android.permission.WRITE_SECURE_SETTINGS,true,false
com.amazon.communication.discovery,/system/priv-app/com.amazon.communication.discovery,system-priv-app,10015,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP,PRIVILEGED,android.permission.MANAGE_USERS,false,false
com.amazon.dcpms.fos.service,/system/priv-app/com.amazon.dcpms.fos.service,system-priv-app,10090,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED,android.permission.MANAGE_USERS,false,false
com.amazon.cloud9.kids,/system/priv-app/com.amazon.cloud9.kids,system-priv-app,10049,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA VM_SAFE_MODE,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED,android.permission.CHANGE_COMPONENT_ENABLED_STATE,false,false
com.amazon.kindle,/system/priv-app/com.amazon.kindle,system-priv-app,10052,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP KILL_AFTER_RESTORE LARGE_HEAP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE HAS_DOMAIN_URLS PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED,android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,true,false
com.amazon.avod,/system/priv-app/com.amazon.avod,system-priv-app,10106,,true,true,SYSTEM HAS_CODE ALLOW_CLEAR_USER_DATA ALLOW_BACKUP KILL_AFTER_RESTORE LARGE_HEAP,PRIVATE_FLAG_ACTIVITIES_RESIZE_MODE_RESIZEABLE_VIA_SDK_VERSION HAS_DOMAIN_URLS PARTIALLY_DIRECT_BOOT_AWARE PRIVILEGED,android.permission.CHANGE_COMPONENT_ENABLED_STATE;android.permission.DELETE_PACKAGES;android.permission.FORCE_STOP_PACKAGES;android.permission.INSTALL_PACKAGES;android.permission.MANAGE_USERS;android.permission.WRITE_SECURE_SETTINGS,true,false
