path,size,sha256,path_markers,scan_status,archive_members,error
firmware/extracted/PS7331/compiled-02/system/priv-app/TabletSettings/oat/arm64/TabletSettings.odex,123600,7627a68ff9382dcdd5e1da09429205281b51571d780a43097633f4dd5adee532,,binary-scan,0,
firmware/extracted/PS7331/compiled-02/system/priv-app/TabletSettings/oat/arm64/TabletSettings.vdex,67566,01ddae55705d87a262b2c2c71b10ca311d6bd25a3ea2779f281f9f33fbb3eea7,,binary-scan,0,
firmware/extracted/PS7331/compiled-02/system/priv-app/TabletSystemUI/oat/arm64/TabletSystemUI.odex,27096760,8a767fdf2cee69546efc2f1f546854b04eefe0a63db36b19d402188935f97a62,,binary-scan,0,
firmware/extracted/PS7331/compiled-02/system/priv-app/TabletSystemUI/oat/arm64/TabletSystemUI.vdex,126766,1ddb616e4875dc62ff5474028f14679840def7c1b94479740e50499ef8309925,,binary-scan,0,
firmware/extracted/PS7331/compiled-02/system/priv-app/com.amazon.firelauncher/oat/arm64/com.amazon.firelauncher.odex,30706624,2b3d8026c4e1bb511788b750048fbe72862b757f8e154eb22a550806642f8d37,,binary-scan,0,
firmware/extracted/PS7331/compiled-02/system/priv-app/com.amazon.firelauncher/oat/arm64/com.amazon.firelauncher.vdex,53867,5d2de6fc5147b2709575e37c3e45486904916d6dadfe535b302d2a8b1ecd727e,,binary-scan,0,
firmware/extracted/PS7331/selected/extraction-manifest.tsv,1703,b098f85287a729d03cfac1ac6f767a3ba6a15ce8c65d7f9e581cbbed75448a74,,binary-scan,0,
firmware/extracted/PS7331/selected/manifest.sha256,125,68d874b06b66e0e3f0e32ef9f7cc296fd04a7f273c5600aa496e21e7bc2798ce,,binary-scan,0,
firmware/extracted/PS7331/selected/system/framework/fosframework.jar,137839,ef1491b8850be6d6cab0101d6b4fcf34e1dabb13cd2d08e3d72e615ddb21d188,,archive-member-scan,141,
firmware/extracted/PS7331/selected/system/framework/fosservices.jar,200,364603c0228058973ed976ff1bef51c3cab2fa8fc163ec63c727157bb92dec96,,archive-member-scan,1,
firmware/extracted/PS7331/selected/system/framework/framework-res.apk,40298065,7a405abe0f721719cb5d8a280ac551f86880a70227d923e04dd922109ce8a35e,,archive-member-scan,3822,
firmware/extracted/PS7331/selected/system/framework/framework.jar,183,1c16f5976318fadcf7add92c518a93896f99e2a78f742b7347d8539103264882,,archive-member-scan,1,
firmware/extracted/PS7331/selected/system/framework/services.jar,183,1c16f5976318fadcf7add92c518a93896f99e2a78f742b7347d8539103264882,,archive-member-scan,1,
firmware/extracted/PS7331/selected/system/priv-app/SettingsProvider/SettingsProvider.apk,316361,71022834bbea12ebba134988decc682dd1d70ce57cdedc95ad92eadd1b67800a,,archive-member-scan,12,
firmware/extracted/PS7331/selected/system/priv-app/TabletSettings/TabletSettings.apk,45987686,26aefbf94b32de342f568eff4ec46e97212e3cbb2cc2c44b2558058076bf0c3e,,archive-member-scan,2411,
firmware/extracted/PS7331/selected/system/priv-app/TabletSystemUI/TabletSystemUI.apk,27215822,2c4f9940d9d7e57192300771ce856a9fde68a877a666191553992d9959dc3b0d,,archive-member-scan,1969,
firmware/extracted/PS7331/selected/system/priv-app/com.amazon.firelauncher/com.amazon.firelauncher.apk,19066595,ee8201f5499b9d01d2f6fe1685a3e756d7429990c68e6b490b2f38466d09b8d3,,archive-member-scan,3911,
firmware/extracted/PS7331/system/build.prop,6800,068b257362514773113671a7be67ff1288c484382ee43694872a19dbcb93e15e,,binary-scan,0,
