pair,normal_sha256,rootable_sha256,normal_lines,rootable_lines,normal_unique,rootable_unique,added_unique,removed_unique,focus,normal_count,rootable_count,added_count
plat_pub,da53a898c9799e9922ccc0f952706e0977ced86061b20894ff33c6b4346a9350,74fbd09302aac0d7104435b4aed9acd39807eb4e64ae716f0fe097911620f163,8562,8939,8422,8792,1437,1067,dyntransition,17,18,16
plat_pub,da53a898c9799e9922ccc0f952706e0977ced86061b20894ff33c6b4346a9350,74fbd09302aac0d7104435b4aed9acd39807eb4e64ae716f0fe097911620f163,8562,8939,8422,8792,1437,1067,capability,88,93,11
plat_pub,da53a898c9799e9922ccc0f952706e0977ced86061b20894ff33c6b4346a9350,74fbd09302aac0d7104435b4aed9acd39807eb4e64ae716f0fe097911620f163,8562,8939,8422,8792,1437,1067,init_domain,1,1,0
plat_pub,da53a898c9799e9922ccc0f952706e0977ced86061b20894ff33c6b4346a9350,74fbd09302aac0d7104435b4aed9acd39807eb4e64ae716f0fe097911620f163,8562,8939,8422,8792,1437,1067,load_policy,1,2,2
plat_pub,da53a898c9799e9922ccc0f952706e0977ced86061b20894ff33c6b4346a9350,74fbd09302aac0d7104435b4aed9acd39807eb4e64ae716f0fe097911620f163,8562,8939,8422,8792,1437,1067,setenforce,2,3,2
plat_pub,da53a898c9799e9922ccc0f952706e0977ced86061b20894ff33c6b4346a9350,74fbd09302aac0d7104435b4aed9acd39807eb4e64ae716f0fe097911620f163,8562,8939,8422,8792,1437,1067,debug_build_marker,0,0,0
vendor,82430dbe87b8a5f653110b635289489b99e82bdbe7bdc7a2e1ee5564e674e035,82559be062226861221c58fb33de39d2541d0a4b08a96ea10bea2b3acc2e5b7a,9749,10803,9357,10411,1060,6,typepermissive,0,0,0
vendor,82430dbe87b8a5f653110b635289489b99e82bdbe7bdc7a2e1ee5564e674e035,82559be062226861221c58fb33de39d2541d0a4b08a96ea10bea2b3acc2e5b7a,9749,10803,9357,10411,1060,6,allow,5961,6010,49
vendor,82430dbe87b8a5f653110b635289489b99e82bdbe7bdc7a2e1ee5564e674e035,82559be062226861221c58fb33de39d2541d0a4b08a96ea10bea2b3acc2e5b7a,9749,10803,9357,10411,1060,6,neverallow,65,808,743
vendor,82430dbe87b8a5f653110b635289489b99e82bdbe7bdc7a2e1ee5564e674e035,82559be062226861221c58fb33de39d2541d0a4b08a96ea10bea2b3acc2e5b7a,9749,10803,9357,10411,1060,6,su_token,0,0,0
