source_package,shared_user_id,protected_broadcast,is_target_action,target_permission_string_observed
android.amazon.perm,android.uid.system,android.os.action.FORCE_UPDATE_FALSE,false,true
android.amazon.perm,android.uid.system,com.lab126.intent.action.FORCE_OTA_DOWNLOAD_STATUS_CHANGED_ACTION,false,true
android.amazon.perm,android.uid.system,com.amazon.dcp.sso.action.AmazonAccountPropertyService.property.changed,false,true
android.amazon.perm,android.uid.system,com.amazon.dcp.sso.broadcast.CORPFMHasChanged,false,true
android.amazon.perm,android.uid.system,com.amazon.intent.COMMUNICATION_SERVICE_INITIALIZED,false,true
android.amazon.perm,android.uid.system,amazon.communication.action.HANDLE_TCOMM_MESSAGE,false,true
android.amazon.perm,android.uid.system,WifiMetricsHeartbeat,false,true
android.amazon.perm,android.uid.system,com.amazon.tv.devicecontrol.ACTIVE,false,true
android.amazon.perm,android.uid.system,com.amazon.tv.devicecontrol.INACTIVE,false,true
android.amazon.perm,android.uid.system,amazon.intent.action.TURN_TV_ON,false,true
android.amazon.perm,android.uid.system,com.android.systemui.tv.pip.SHOW_PIP_MENU,false,true
android.amazon.perm,android.uid.system,com.amazon.pip.app.MOVE_FULLSCREEN_PIP,false,true
android.amazon.perm,android.uid.system,com.amazon.pip.app.MOVE_FULLSCREEN_PIP,false,true
android.amazon.perm,android.uid.system,amazon.intent.action.ENTERING_STR_MODE,false,true
android.amazon.perm,android.uid.system,com.amazon.tv.action.ACTION_EXPLICIT_ACTIVATE,false,true
android.amazon.perm,android.uid.system,amazon.intent.action.IRBLASTER_PLUGGED,false,true
android.amazon.perm,android.uid.system,amazon.intent.action.NOTIFY_NO_NETWORK,false,true
android.amazon.perm,android.uid.system,com.amazon.tv.settings.BACKUP_AND_RESET_SETTINGS_FROM_REMOTE,false,true
android.amazon.perm,android.uid.system,com.amazon.tv.settings.BACKUP_AND_RESET_CANCELED,false,true
android.amazon.perm,android.uid.system,com.amazon.intent.action.RESOLUTION_SWITCHER,false,true
android.amazon.perm,android.uid.system,com.amazon.tv.action.SWITCH_INPUT,false,true
android.amazon.perm,android.uid.system,com.amazon.internal.intent.action.DEVICE_MEMORY_CHANGED,false,true
android.amazon.perm,android.uid.system,amazon.intent.action.ACTION_STORAGE_SPACE_THRESHOLD_REACHED,false,true
android.amazon.perm,android.uid.system,amazon.intent.action.DEVICE_STORAGE_LOW,false,true
android.amazon.perm,android.uid.system,amazon.intent.action.DEVICE_STORAGE_FULL,false,true
