tag	repository	path	sha256
android-9.0.0_r61	platform/frameworks/base	services/core/java/com/android/server/am/ActivityStarter.java	da6e0bb529ca8324a1326cd579d02440a77267a07bc86ab080658ea439e055ac
android-9.0.0_r61	platform/frameworks/base	services/core/java/com/android/server/wm/WindowManagerService.java	397916d54e50b450160bbf85eb13ad969fe65e0791b89c2a940372f30f80a358
android-9.0.0_r61	platform/frameworks/base	services/core/java/com/android/server/input/InputManagerService.java	f21fab0a80011e4ad778d108bd7991d42312da61101f7791d74f936cabcfc26b
android-9.0.0_r61	platform/frameworks/base	services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerService.java	aa12f36412d6455c129158d27b9090afea656984b0fd26daa2abdf7be350ff3d
android-9.0.0_r61	platform/frameworks/base	core/java/android/app/ActivityManager.java	d01fc92238074e75d47b6afd30b4d171f401a125405b0226feebf0f3ba6aaf8b
android-9.0.0_r61	platform/frameworks/base	core/java/android/content/Intent.java	5c87195eacc50c5690d94fba9d5534980c9b6d7ac29d0acb4ebf32b7feb5342e
android-9.0.0_r61	platform/frameworks/base	core/java/android/content/pm/PackageManager.java	d69f9bcfe29c379374f0fbd0a7769be33169f189fe9788fcdffcb52a538ed79d
android-9.0.0_r61	platform/frameworks/base	packages/SystemUI/src/com/android/systemui/recents/RecentsActivity.java	71c1c1cf2f0b7954b05ad473e5b595138387452a5d1f9388d8da92d7394e1aa7
android-9.0.0_r61	platform/packages/apps/Settings	src/com/android/settings/applications/defaultapps/DefaultHomePicker.java	fd647aae87608cae500e5de2b2912d23d55fb68451e9db7f1228a0bdf4cd9a4e
android-9.0.0_r61	platform/packages/apps/Settings	src/com/android/settings/applications/defaultapps/DefaultHomePreferenceController.java	6bd158cb8cbae8cbaf76e2c4914696e224424ef3c5e661d7b213682a7d8aa2d5
android-9.0.0_r61	platform/packages/apps/Settings	res/xml/default_home_settings.xml	700036fa438983ac6b04930de7a9b3c889e98ff16529e277e3e5804a35d2c2d3
android-9.0.0_r1	platform/packages/apps/Settings	src/com/android/settings/applications/DefaultAppSettings.java	fe14aecf9429185e175d7a792c7ff24ddc15a59c08fb642bbf09a19ed5222d4e
android-9.0.0_r1	platform/packages/apps/Settings	res/xml/app_default_settings.xml	6907ce8a0f5df11c6f0c1aa465bf6943c7ddb0491fdd1edada56b506b492a115
android-9.0.0_r61	platform/packages/apps/Settings	src/com/android/settings/applications/DefaultAppSettings.java	fe14aecf9429185e175d7a792c7ff24ddc15a59c08fb642bbf09a19ed5222d4e
android-9.0.0_r61	platform/packages/apps/Settings	res/xml/app_default_settings.xml	6907ce8a0f5df11c6f0c1aa465bf6943c7ddb0491fdd1edada56b506b492a115
